Device Info:
CPU: Intel64 Family 6 Model 186 Stepping 2, GenuineIntel (20 cores)
GPU: Not available
Memory: 6.4GB free / 15.6GB total
----------
2025-03-19 21:34:11 - Max FPS: 38.45, Min FPS: 15.50, Avg FPS: 30.89, Predictions per frame: 0.03, PPS: 1
2025-03-19 21:34:12 - Max FPS: 16.55, Min FPS: 9.52, Avg FPS: 15.11, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:34:13 - Max FPS: 16.41, Min FPS: 11.45, Avg FPS: 14.98, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:34:14 - Max FPS: 16.60, Min FPS: 11.53, Avg FPS: 15.45, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:34:15 - Max FPS: 16.25, Min FPS: 11.49, Avg FPS: 15.22, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:34:16 - Max FPS: 16.39, Min FPS: 11.71, Avg FPS: 15.70, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:34:17 - Max FPS: 33.34, Min FPS: 11.24, Avg FPS: 23.12, Predictions per frame: 0.45, PPS: 9
2025-03-19 21:34:18 - Max FPS: 38.35, Min FPS: 15.44, Avg FPS: 31.08, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:34:19 - Max FPS: 41.68, Min FPS: 15.26, Avg FPS: 30.73, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:34:20 - Max FPS: 34.11, Min FPS: 14.25, Avg FPS: 29.82, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:34:21 - Max FPS: 33.34, Min FPS: 16.12, Avg FPS: 27.21, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:35:57 - Max FPS: 41.31, Min FPS: 2.95, Avg FPS: 29.98, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:35:58 - Max FPS: 34.77, Min FPS: 3.01, Avg FPS: 27.19, Predictions per frame: 0.15, PPS: 3
2025-03-19 21:35:59 - Max FPS: 16.35, Min FPS: 11.30, Avg FPS: 15.25, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:36:00 - Max FPS: 16.37, Min FPS: 11.44, Avg FPS: 15.01, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:36:01 - Max FPS: 16.39, Min FPS: 11.19, Avg FPS: 15.01, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:36:02 - Max FPS: 16.46, Min FPS: 11.31, Avg FPS: 15.20, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:36:03 - Max FPS: 16.19, Min FPS: 12.85, Avg FPS: 15.09, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:36:04 - Max FPS: 16.39, Min FPS: 11.30, Avg FPS: 15.02, Predictions per frame: 0.93, PPS: 14
2025-03-19 21:36:05 - Max FPS: 36.37, Min FPS: 17.49, Avg FPS: 29.94, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:36:06 - Max FPS: 34.10, Min FPS: 17.89, Avg FPS: 29.77, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:36:07 - Max FPS: 35.35, Min FPS: 13.28, Avg FPS: 31.60, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:36:08 - Max FPS: 37.04, Min FPS: 15.68, Avg FPS: 31.08, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:36:09 - Max FPS: 34.40, Min FPS: 13.90, Avg FPS: 31.00, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:37:32 - Max FPS: 34.48, Min FPS: 2.85, Avg FPS: 28.44, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:37:33 - Max FPS: 37.61, Min FPS: 16.04, Avg FPS: 31.67, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:37:34 - Max FPS: 34.47, Min FPS: 4.30, Avg FPS: 24.02, Predictions per frame: 0.16, PPS: 3
2025-03-19 21:37:35 - Max FPS: 34.39, Min FPS: 9.55, Avg FPS: 16.51, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:37:36 - Max FPS: 16.52, Min FPS: 11.51, Avg FPS: 15.74, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:37:37 - Max FPS: 16.52, Min FPS: 11.48, Avg FPS: 15.29, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:37:39 - Max FPS: 16.34, Min FPS: 11.18, Avg FPS: 14.98, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:37:40 - Max FPS: 16.29, Min FPS: 11.37, Avg FPS: 14.83, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:37:41 - Max FPS: 16.38, Min FPS: 9.73, Avg FPS: 15.16, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:37:42 - Max FPS: 16.22, Min FPS: 11.49, Avg FPS: 15.45, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:37:43 - Max FPS: 16.39, Min FPS: 11.40, Avg FPS: 14.98, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:37:44 - Max FPS: 16.42, Min FPS: 11.76, Avg FPS: 15.48, Predictions per frame: 1.00, PPS: 16
